transactionid,saledate,customerid,productid,storeid,campaignid,saleamount,qtypurchased,saletime,StandardDateTime
477,5/4/2025,1025,2092,404,2.0,771.54,1,evening,2025-05-04
478,5/4/2025,1052,2047,403,3.0,334.98,3,afternoon,2025-05-04
479,5/4/2025,1011,2072,402,1.0,756.54,4,morning,2025-05-04
481,5/4/2025,1039,2025,403,1.0,503.32,2,afternoon,2025-05-04
482,5/4/2025,1097,2072,402,3.0,420.3,1,morning,2025-05-04
485,5/4/2025,1043,2093,403,1.0,1360.69,5,morning,2025-05-04
487,5/4/2025,1138,2082,401,0.0,533.2,1,evening,2025-05-04
488,5/4/2025,1019,2085,401,0.0,484.3,3,afternoon,2025-05-04
489,5/4/2025,1105,2017,402,0.0,1391.1,4,morning,2025-05-04
491,5/4/2025,1129,2058,403,0.0,1333.5,2,afternoon,2025-05-04
494,5/4/2025,1004,2067,403,2.0,465.52,4,afternoon,2025-05-04
495,5/4/2025,1004,2064,404,1.0,1323.18,5,morning,2025-05-04
496,5/4/2025,1027,2012,402,1.0,1121.74,2,morning,2025-05-04
499,5/4/2025,1103,2058,402,1.0,600.08,4,morning,2025-05-04
501,5/4/2025,1023,2051,404,3.0,351.96,2,afternoon,2025-05-04
502,5/4/2025,1141,2060,401,0.0,408.38,1,morning,2025-05-04
503,5/4/2025,1179,2021,401,3.0,835.41,3,evening,2025-05-04
505,5/4/2025,1135,2005,402,1.0,1157.71,5,morning,2025-05-04
506,5/4/2025,1177,2072,404,2.0,1008.72,2,morning,2025-05-04
509,5/4/2025,1150,2018,404,0.0,1084.52,4,morning,2025-05-04
512,5/4/2025,1193,2094,402,0.0,1480.05,1,morning,2025-05-04
515,5/4/2025,1087,2077,404,2.0,449.46,5,afternoon,2025-05-04
516,5/4/2025,1007,2081,403,3.0,746.22,2,morning,2025-05-04
519,5/4/2025,1197,2079,403,1.0,855.49,4,morning,2025-05-04
521,5/4/2025,1039,2048,402,3.0,357.63,2,evening,2025-05-04
526,5/4/2025,1142,2071,404,0.0,615.16,2,morning,2025-05-04
527,5/4/2025,1006,2011,403,0.0,1229.22,1,evening,2025-05-04
529,5/4/2025,1003,2037,404,3.0,1440.56,4,morning,2025-05-04
531,5/4/2025,1175,2048,402,1.0,965.6,2,evening,2025-05-04
536,5/4/2025,1063,2092,404,1.0,867.98,2,morning,2025-05-04
539,5/4/2025,1084,2056,403,3.0,1574.16,4,morning,2025-05-04
542,5/4/2025,1080,2022,404,2.0,1073.89,1,afternoon,2025-05-04
543,5/4/2025,1074,2094,404,1.0,444.02,3,morning,2025-05-04
547,5/4/2025,1181,2026,404,2.0,507.74,1,evening,2025-05-04
548,5/4/2025,1177,2008,404,3.0,332.95,3,afternoon,2025-05-04
549,5/4/2025,1035,2081,403,1.0,1343.2,4,morning,2025-05-04
550,5/4/2025,1064,2084,402,3.0,845.55,5,morning,2025-05-04
553,5/4/2025,1092,2089,401,0.0,827.04,3,morning,2025-05-04
554,5/4/2025,1196,2031,403,1.0,1526.31,4,evening,2025-05-04
556,5/4/2025,1192,2042,404,0.0,1005.66,2,morning,2025-05-04
557,5/4/2025,1002,2012,403,1.0,560.87,1,evening,2025-05-04
560,5/4/2025,1088,2003,404,0.0,385.18,5,morning,2025-05-04
562,5/4/2025,1186,2018,403,2.0,1301.42,1,afternoon,2025-05-04
564,5/4/2025,1089,2060,401,3.0,408.38,4,evening,2025-05-04
567,5/4/2025,1005,2043,401,1.0,786.1,1,evening,2025-05-04
570,5/4/2025,1059,2051,402,1.0,527.94,5,morning,2025-05-04
571,5/4/2025,1163,2084,404,3.0,845.55,2,evening,2025-05-04
572,5/4/2025,1007,2094,402,3.0,493.35,1,afternoon,2025-05-04
576,5/4/2025,1137,2023,403,2.0,1503.26,2,morning,2025-05-04
577,5/4/2025,1050,2058,401,2.0,1066.8,1,evening,2025-05-04
578,5/4/2025,1171,2062,403,3.0,619.36,3,afternoon,2025-05-04
580,5/4/2025,1090,2058,402,2.0,1066.8,5,morning,2025-05-04
581,5/4/2025,1157,2075,401,1.0,702.58,2,evening,2025-05-04
584,5/4/2025,1130,2049,404,1.0,845.86,4,evening,2025-05-04
585,5/4/2025,1147,2049,404,1.0,845.86,5,afternoon,2025-05-04
587,5/4/2025,1125,2036,402,1.0,588.55,1,evening,2025-05-04
588,5/4/2025,1080,2057,401,2.0,699.17,3,afternoon,2025-05-04
589,5/4/2025,1002,2062,402,1.0,1114.85,4,morning,2025-05-04
593,5/4/2025,1194,2028,403,0.0,637.94,3,morning,2025-05-04
599,5/4/2025,1188,2083,402,2.0,1229.06,4,morning,2025-05-04
600,5/4/2025,1008,2057,403,2.0,699.17,5,morning,2025-05-04
602,5/4/2025,1053,2094,403,3.0,493.35,1,afternoon,2025-05-04
605,5/4/2025,1152,2068,402,2.0,656.19,5,afternoon,2025-05-04
613,5/4/2025,1096,2057,401,0.0,1310.94,3,morning,2025-05-04
614,5/4/2025,1103,2065,403,2.0,376.27,4,evening,2025-05-04
615,5/4/2025,1116,2062,403,0.0,1238.72,5,afternoon,2025-05-04
618,5/4/2025,1136,2050,402,3.0,933.9,3,afternoon,2025-05-04
619,5/4/2025,1054,2063,403,2.0,441.97,4,morning,2025-05-04
621,5/4/2025,1087,2087,401,0.0,637.28,2,evening,2025-05-04
623,5/4/2025,1031,2020,404,3.0,1127.49,3,morning,2025-05-04
626,5/4/2025,1023,2083,403,2.0,1229.06,2,morning,2025-05-04
629,5/4/2025,1109,2083,401,0.0,768.16,4,morning,2025-05-04
630,5/4/2025,1000,2027,404,0.0,517.22,5,morning,2025-05-04
631,5/4/2025,1033,2075,402,3.0,780.64,2,evening,2025-05-04
632,5/4/2025,1002,2001,403,0.0,824.7,1,afternoon,2025-05-04
636,5/4/2025,1094,2038,402,3.0,926.51,2,morning,2025-05-04
638,5/4/2025,1017,2067,401,1.0,523.71,3,afternoon,2025-05-04
639,5/4/2025,1112,2044,402,1.0,560.47,4,morning,2025-05-04
640,5/4/2025,1105,2078,404,1.0,383.43,5,morning,2025-05-04
641,5/4/2025,1022,2012,402,0.0,623.19,2,evening,2025-05-04
644,5/4/2025,1070,2082,401,1.0,719.82,4,evening,2025-05-04
647,5/4/2025,1191,2050,403,0.0,560.34,1,evening,2025-05-04
648,5/4/2025,1005,2030,404,3.0,679.88,3,afternoon,2025-05-04
649,5/4/2025,1028,2030,404,0.0,509.91,4,morning,2025-05-04
650,5/4/2025,1135,2001,403,2.0,989.64,5,morning,2025-05-04
651,5/4/2025,1033,2049,404,2.0,751.87,2,evening,2025-05-04
654,5/4/2025,1003,2033,402,0.0,836.25,4,evening,2025-05-04
655,5/4/2025,1015,2050,403,3.0,560.34,5,afternoon,2025-05-04
656,5/4/2025,1108,2089,404,0.0,413.52,2,morning,2025-05-04
658,5/4/2025,1021,2039,401,1.0,878.8,3,afternoon,2025-05-04
660,5/4/2025,1150,2081,401,2.0,1193.95,5,morning,2025-05-04
664,5/4/2025,1170,2094,402,0.0,986.7,4,evening,2025-05-04
666,5/4/2025,1041,2063,403,2.0,1325.9,2,morning,2025-05-04
667,5/4/2025,1042,2047,402,2.0,803.95,1,evening,2025-05-04
669,5/4/2025,1109,2034,401,2.0,326.81,4,morning,2025-05-04
670,5/4/2025,1182,2073,401,3.0,499.43,5,morning,2025-05-04
671,5/4/2025,1116,2065,403,0.0,470.34,2,evening,2025-05-04
672,5/4/2025,1127,2072,402,2.0,1008.72,1,afternoon,2025-05-04
674,5/4/2025,1058,2094,401,0.0,493.35,4,evening,2025-05-04
678,5/4/2025,1082,2031,404,2.0,452.24,3,afternoon,2025-05-04
680,5/4/2025,1128,2086,401,1.0,804.69,5,morning,2025-05-04
681,5/4/2025,1057,2066,401,3.0,1548.18,2,evening,2025-05-04
682,5/4/2025,1017,2059,403,2.0,409.64,1,afternoon,2025-05-04
686,5/4/2025,1094,2075,404,1.0,702.58,2,morning,2025-05-04
687,5/4/2025,1187,2069,402,1.0,627.45,1,evening,2025-05-04
690,5/4/2025,1000,2097,404,2.0,1347.36,5,morning,2025-05-04
692,5/4/2025,1125,2007,402,2.0,933.42,1,afternoon,2025-05-04
693,5/4/2025,1023,2005,402,3.0,1286.34,3,morning,2025-05-04
694,5/4/2025,1179,2047,404,0.0,669.96,4,evening,2025-05-04
697,5/4/2025,1169,2016,402,2.0,775.25,1,evening,2025-05-04
699,5/4/2025,1081,2057,403,1.0,393.28,4,morning,2025-05-04
700,5/4/2025,1019,2025,402,0.0,559.24,5,morning,2025-05-04
704,5/4/2025,1078,2059,403,0.0,1536.15,4,evening,2025-05-04
708,5/4/2025,1131,2006,403,2.0,475.2,3,afternoon,2025-05-04
709,5/4/2025,1044,2003,404,3.0,1155.54,4,morning,2025-05-04
712,5/4/2025,1003,2007,402,1.0,1050.1,1,afternoon,2025-05-04
714,5/4/2025,1149,2075,403,0.0,780.64,4,evening,2025-05-04
715,5/4/2025,1005,2008,402,3.0,466.13,5,afternoon,2025-05-04
716,5/4/2025,1032,2011,403,0.0,409.74,2,morning,2025-05-04
717,5/4/2025,1010,2059,401,1.0,921.69,1,evening,2025-05-04
719,5/4/2025,1007,2048,404,1.0,1287.47,4,morning,2025-05-04
720,5/4/2025,1090,2027,402,2.0,413.78,5,morning,2025-05-04
721,5/4/2025,1071,2057,402,0.0,1310.94,2,evening,2025-05-04
727,5/4/2025,1139,2062,403,2.0,1486.46,1,evening,2025-05-04
728,5/4/2025,1099,2034,402,0.0,408.51,3,afternoon,2025-05-04
731,5/4/2025,1135,2045,402,1.0,842.78,2,evening,2025-05-04
732,5/4/2025,1025,2031,402,2.0,904.48,1,afternoon,2025-05-04
735,5/4/2025,1045,2030,403,2.0,407.93,5,afternoon,2025-05-04
736,5/4/2025,1151,2003,403,1.0,693.32,2,morning,2025-05-04
738,5/4/2025,1044,2062,401,0.0,1238.72,3,afternoon,2025-05-04
740,5/4/2025,1134,2061,401,2.0,639.74,5,morning,2025-05-04
741,5/4/2025,1157,2025,402,2.0,671.09,2,evening,2025-05-04
743,5/4/2025,1005,2018,402,0.0,542.26,3,morning,2025-05-04
747,5/4/2025,1040,2093,404,3.0,755.94,1,evening,2025-05-04
749,5/4/2025,1057,2085,402,3.0,1452.9,4,morning,2025-05-04
752,5/4/2025,1197,2072,401,1.0,1513.08,1,afternoon,2025-05-04
755,5/4/2025,1060,2044,403,1.0,934.11,5,afternoon,2025-05-04
756,5/4/2025,1162,2011,403,3.0,1229.22,2,morning,2025-05-04
759,5/4/2025,1027,2092,401,0.0,482.21,4,morning,2025-05-04
760,5/4/2025,1098,2056,404,1.0,944.5,5,morning,2025-05-04
