transactionid,saledate,customerid,productid,storeid,campaignid,saleamount,qtypurchased,saletime
116,5/4/2025,1158,2087,402,3.0,477.96,2,afternoon
118,5/4/2025,1163,2032,404,2.0,756.48,3,morning
119,5/4/2025,1170,2001,404,2.0,659.76,4,evening
120,5/4/2025,1173,2069,402,0.0,464.78,5,afternoon
122,5/4/2025,1176,2032,404,2.0,756.48,1,evening
124,5/4/2025,1060,2048,403,2.0,1144.42,4,morning
125,5/4/2025,1179,2037,401,3.0,1440.56,5,evening
129,5/4/2025,1173,2096,402,0.0,672.18,4,evening
130,5/4/2025,1160,2082,401,2.0,426.56,5,afternoon
134,5/4/2025,1135,2064,403,1.0,793.91,4,morning
135,5/4/2025,1065,2061,403,2.0,639.74,5,evening
136,5/4/2025,1029,2059,401,1.0,921.69,2,afternoon
137,5/4/2025,1193,2028,404,2.0,1531.06,1,morning
139,5/4/2025,1137,2015,404,2.0,539.98,4,evening
141,5/4/2025,1163,2047,401,1.0,301.48,2,morning
142,5/4/2025,1120,2003,403,1.0,1039.99,1,evening
144,5/4/2025,1166,2052,401,1.0,658.13,4,morning
147,5/4/2025,1099,2058,403,3.0,666.75,1,morning
148,5/4/2025,1150,2095,402,3.0,490.79,3,morning
150,5/4/2025,1071,2004,403,1.0,834.52,5,afternoon
151,5/4/2025,1113,2056,402,2.0,839.55,2,morning
153,5/4/2025,1015,2050,403,1.0,504.31,3,afternoon
156,5/4/2025,1085,2031,402,1.0,508.77,2,afternoon
157,5/4/2025,1017,2097,402,1.0,757.89,1,morning
160,5/4/2025,1044,2014,401,1.0,886.68,5,afternoon
161,5/4/2025,1003,2045,402,2.0,499.42,2,morning
162,5/4/2025,1004,2022,403,0.0,671.18,1,evening
163,5/4/2025,1032,2094,404,0.0,493.35,3,afternoon
167,5/4/2025,1117,2082,401,0.0,799.8,1,morning
172,5/4/2025,1152,2067,403,3.0,872.85,1,evening
174,5/4/2025,1179,2014,402,3.0,738.9,4,morning
176,5/4/2025,1116,2051,404,0.0,351.96,2,afternoon
178,5/4/2025,1095,2019,404,0.0,933.93,3,morning
181,5/4/2025,1142,2007,403,0.0,583.39,2,morning
182,5/4/2025,1105,2045,404,0.0,624.28,1,evening
185,5/4/2025,1168,2061,402,0.0,599.76,5,evening
189,5/4/2025,1007,2023,403,2.0,751.63,4,evening
190,5/4/2025,1086,2044,401,1.0,373.64,5,afternoon
191,5/4/2025,1036,2072,404,0.0,1260.9,2,morning
193,5/4/2025,1191,2067,402,3.0,872.85,3,afternoon
198,5/4/2025,1169,2054,404,3.0,900.51,3,morning
201,5/4/2025,1173,2086,404,2.0,715.28,2,morning
204,5/4/2025,1196,2017,403,2.0,370.96,4,morning
207,5/4/2025,1097,2068,402,2.0,1312.38,1,morning
209,5/4/2025,1004,2058,401,2.0,1066.8,4,evening
211,5/4/2025,1074,2014,404,0.0,738.9,2,morning
212,5/4/2025,1083,2021,404,2.0,668.33,1,evening
214,5/4/2025,1111,2075,404,0.0,1561.28,4,morning
216,5/4/2025,1085,2099,402,0.0,646.32,2,afternoon
217,5/4/2025,1130,2081,401,1.0,1343.2,1,morning
220,5/4/2025,1050,2022,402,0.0,671.18,5,afternoon
221,5/4/2025,1045,2098,404,3.0,907.86,2,morning
225,5/4/2025,1070,2075,401,2.0,624.51,5,evening
229,5/4/2025,1118,2074,401,3.0,659.5,4,evening
230,5/4/2025,1146,2083,402,2.0,614.53,5,afternoon
231,5/4/2025,1154,2060,402,0.0,408.38,2,morning
233,5/4/2025,1129,2082,402,0.0,1066.4,3,afternoon
235,5/4/2025,1134,2066,402,2.0,1238.54,5,evening
236,5/4/2025,1095,2036,404,3.0,653.94,2,afternoon
237,5/4/2025,1198,2043,401,2.0,1397.52,1,morning
239,5/4/2025,1072,2032,402,2.0,1512.96,4,evening
240,5/4/2025,1020,2074,402,2.0,527.6,5,afternoon
241,5/4/2025,1079,2083,404,1.0,691.34,2,morning
247,5/4/2025,1196,2062,402,1.0,1114.85,1,morning
249,5/4/2025,1025,2064,401,2.0,705.7,4,evening
251,5/4/2025,1039,2020,402,1.0,338.25,2,morning
252,5/4/2025,1184,2056,401,3.0,1574.16,1,evening
254,5/4/2025,1156,2036,404,1.0,392.36,4,morning
255,5/4/2025,1136,2030,403,3.0,509.91,5,evening
258,5/4/2025,1041,2025,402,2.0,671.09,3,morning
259,5/4/2025,1013,2082,404,2.0,1066.4,4,morning
260,5/4/2025,1141,2013,401,2.0,748.29,5,evening
261,5/4/2025,1021,2097,402,2.0,673.68,2,afternoon
263,5/4/2025,1023,2028,404,2.0,510.35,3,evening
264,5/4/2025,1006,2053,401,3.0,610.15,4,afternoon
265,5/4/2025,1128,2047,402,3.0,1004.94,5,morning
266,5/4/2025,1020,2047,402,0.0,669.96,2,morning
268,5/4/2025,1035,2004,403,3.0,927.25,3,afternoon
271,5/4/2025,1065,2027,402,3.0,775.83,2,afternoon
275,5/4/2025,1028,2063,401,1.0,994.43,5,morning
278,5/4/2025,1146,2053,402,0.0,1220.3,3,afternoon
281,5/4/2025,1095,2032,401,2.0,1512.96,2,afternoon
283,5/4/2025,1197,2074,403,1.0,593.55,3,evening
284,5/4/2025,1011,2045,403,1.0,842.78,4,afternoon
286,5/4/2025,1161,2023,402,0.0,939.54,2,morning
287,5/4/2025,1183,2099,404,0.0,1292.64,1,evening
290,5/4/2025,1139,2060,403,0.0,1225.14,5,evening
292,5/4/2025,1091,2099,401,2.0,1034.11,1,morning
294,5/4/2025,1102,2095,404,3.0,1472.37,4,afternoon
296,5/4/2025,1094,2066,403,0.0,1032.12,2,morning
298,5/4/2025,1154,2023,403,2.0,751.63,3,afternoon
300,5/4/2025,1078,2057,404,1.0,393.28,5,evening
301,5/4/2025,1176,2056,403,3.0,524.72,2,afternoon
303,5/4/2025,1070,2081,401,0.0,1492.44,3,evening
304,5/4/2025,1171,2081,404,2.0,596.98,4,afternoon
305,5/4/2025,1131,2095,402,0.0,1472.37,5,morning
306,5/4/2025,1036,2077,404,0.0,1123.66,2,morning
309,5/4/2025,1173,2057,403,2.0,349.58,4,morning
310,5/4/2025,1113,2097,401,1.0,757.89,5,evening
312,5/4/2025,1166,2035,402,0.0,899.99,1,morning
313,5/4/2025,1006,2094,402,3.0,1480.05,3,evening
314,5/4/2025,1132,2049,401,2.0,1503.74,4,afternoon
316,5/4/2025,1156,2036,404,1.0,784.73,2,morning
320,5/4/2025,1140,2069,403,2.0,557.74,5,evening
321,5/4/2025,1040,2091,402,2.0,724.63,2,afternoon
322,5/4/2025,1130,2028,401,1.0,574.15,1,morning
323,5/4/2025,1035,2030,404,0.0,339.94,3,evening
328,5/4/2025,1081,2082,401,3.0,1066.4,3,afternoon
333,5/4/2025,1041,2041,402,2.0,643.37,3,evening
334,5/4/2025,1132,2036,401,2.0,348.77,4,afternoon
337,5/4/2025,1151,2074,402,1.0,1187.1,1,evening
342,5/4/2025,1123,2031,404,2.0,1356.72,1,morning
345,5/4/2025,1052,2043,402,2.0,698.76,5,morning
348,5/4/2025,1081,2030,404,0.0,339.94,3,afternoon
349,5/4/2025,1068,2057,402,1.0,1179.85,4,morning
350,5/4/2025,1024,2006,403,3.0,594.0,5,evening
351,5/4/2025,1157,2053,402,1.0,1098.27,2,afternoon
357,5/4/2025,1012,2036,404,3.0,653.94,1,evening
359,5/4/2025,1110,2017,403,2.0,370.96,4,morning
361,5/4/2025,1102,2006,402,2.0,792.0,2,afternoon
362,5/4/2025,1141,2036,401,3.0,871.92,1,morning
364,5/4/2025,1032,2012,404,2.0,997.1,4,afternoon
365,5/4/2025,1086,2071,403,1.0,553.64,5,morning
366,5/4/2025,1050,2077,404,0.0,561.83,2,morning
369,5/4/2025,1155,2065,402,2.0,1128.82,4,morning
371,5/4/2025,1157,2094,403,2.0,1578.72,2,afternoon
372,5/4/2025,1129,2065,404,2.0,752.54,1,morning
377,5/4/2025,1149,2061,402,3.0,1199.52,1,evening
378,5/4/2025,1037,2087,402,0.0,318.64,3,afternoon
379,5/4/2025,1146,2089,401,1.0,744.34,4,morning
383,5/4/2025,1180,2017,402,2.0,741.92,3,evening
384,5/4/2025,1169,2061,404,2.0,319.87,4,afternoon
385,5/4/2025,1044,2058,403,2.0,1066.8,5,morning
387,5/4/2025,1049,2031,403,2.0,1356.72,1,evening
389,5/4/2025,1176,2090,404,2.0,343.87,4,morning
391,5/4/2025,1031,2073,404,3.0,1498.29,2,afternoon
392,5/4/2025,1088,2098,402,2.0,726.29,1,morning
393,5/4/2025,1010,2036,401,2.0,348.77,3,evening
395,5/4/2025,1054,2025,403,2.0,671.09,5,morning
399,5/4/2025,1183,2060,401,1.0,367.54,4,morning
401,5/4/2025,1167,2060,404,1.0,735.08,2,afternoon
402,5/4/2025,1193,2036,403,2.0,348.77,1,morning
405,5/4/2025,1106,2022,401,3.0,671.18,5,morning
407,5/4/2025,1002,2038,401,2.0,1482.42,1,evening
408,5/4/2025,1072,2058,404,1.0,1200.15,3,afternoon
409,5/4/2025,1129,2059,403,1.0,1382.54,4,morning
410,5/4/2025,1028,2042,402,3.0,502.83,5,evening
412,5/4/2025,1188,2043,403,1.0,1572.21,1,morning
413,5/4/2025,1044,2078,404,3.0,426.03,3,evening
415,5/4/2025,1171,2012,402,1.0,1121.74,5,morning
418,5/4/2025,1192,2034,403,2.0,326.81,3,afternoon
419,5/4/2025,1149,2092,401,2.0,1157.3,4,morning
422,5/4/2025,1040,2051,403,0.0,469.28,1,morning
424,5/4/2025,1056,2017,404,1.0,834.66,4,afternoon
425,5/4/2025,1116,2095,403,3.0,490.79,5,morning
429,5/4/2025,1144,2014,401,1.0,443.34,4,morning
431,5/4/2025,1083,2066,404,0.0,516.06,2,afternoon
432,5/4/2025,1174,2026,404,0.0,423.12,1,morning
435,5/4/2025,1144,2007,404,2.0,933.42,5,morning
436,5/4/2025,1185,2002,404,2.0,692.8,2,morning
438,5/4/2025,1011,2054,403,0.0,900.51,3,afternoon
441,5/4/2025,1196,2017,404,2.0,741.92,2,afternoon
442,5/4/2025,1097,2057,404,3.0,436.98,1,morning
443,5/4/2025,1020,2087,402,2.0,637.28,3,evening
444,5/4/2025,1030,2022,404,1.0,604.06,4,afternoon
446,5/4/2025,1076,2059,404,3.0,1536.15,2,morning
448,5/4/2025,1039,2035,402,0.0,899.99,3,afternoon
449,5/4/2025,1008,2084,404,0.0,845.55,4,morning
450,5/4/2025,1061,2026,401,0.0,423.12,5,evening
455,5/4/2025,1187,2073,403,2.0,399.54,5,morning
459,5/4/2025,1142,2063,401,2.0,1325.9,4,morning
460,5/4/2025,1164,2085,404,2.0,387.44,5,evening
462,5/4/2025,1076,2048,402,3.0,1072.89,1,morning
463,5/4/2025,1061,2028,403,1.0,1148.29,3,evening
465,5/4/2025,1142,2067,402,3.0,1163.8,5,morning
466,5/4/2025,1062,2032,402,2.0,756.48,2,morning
469,5/4/2025,1068,2048,401,0.0,715.26,4,morning
472,5/4/2025,1054,2024,401,3.0,372.81,1,morning
473,5/4/2025,1062,2089,402,3.0,1240.56,3,evening
477,5/4/2025,1025,2092,404,2.0,771.54,1,evening
478,5/4/2025,1052,2047,403,3.0,334.98,3,afternoon
479,5/4/2025,1011,2072,402,1.0,756.54,4,morning
481,5/4/2025,1039,2025,403,1.0,503.32,2,afternoon
482,5/4/2025,1097,2072,402,3.0,420.3,1,morning
485,5/4/2025,1043,2093,403,1.0,1360.69,5,morning
487,5/4/2025,1138,2082,401,0.0,533.2,1,evening
488,5/4/2025,1019,2085,401,0.0,484.3,3,afternoon
489,5/4/2025,1105,2017,402,0.0,1391.1,4,morning
491,5/4/2025,1129,2058,403,0.0,1333.5,2,afternoon
494,5/4/2025,1004,2067,403,2.0,465.52,4,afternoon
495,5/4/2025,1004,2064,404,1.0,1323.18,5,morning
496,5/4/2025,1027,2012,402,1.0,1121.74,2,morning
499,5/4/2025,1103,2058,402,1.0,600.08,4,morning
501,5/4/2025,1023,2051,404,3.0,351.96,2,afternoon
502,5/4/2025,1141,2060,401,0.0,408.38,1,morning
503,5/4/2025,1179,2021,401,3.0,835.41,3,evening
505,5/4/2025,1135,2005,402,1.0,1157.71,5,morning
506,5/4/2025,1177,2072,404,2.0,1008.72,2,morning
509,5/4/2025,1150,2018,404,0.0,1084.52,4,morning
512,5/4/2025,1193,2094,402,0.0,1480.05,1,morning
515,5/4/2025,1087,2077,404,2.0,449.46,5,afternoon
516,5/4/2025,1007,2081,403,3.0,746.22,2,morning
519,5/4/2025,1197,2079,403,1.0,855.49,4,morning
521,5/4/2025,1039,2048,402,3.0,357.63,2,evening
526,5/4/2025,1142,2071,404,0.0,615.16,2,morning
527,5/4/2025,1006,2011,403,0.0,1229.22,1,evening
529,5/4/2025,1003,2037,404,3.0,1440.56,4,morning
531,5/4/2025,1175,2048,402,1.0,965.6,2,evening
536,5/4/2025,1063,2092,404,1.0,867.98,2,morning
539,5/4/2025,1084,2056,403,3.0,1574.16,4,morning
542,5/4/2025,1080,2022,404,2.0,1073.89,1,afternoon
543,5/4/2025,1074,2094,404,1.0,444.02,3,morning
547,5/4/2025,1181,2026,404,2.0,507.74,1,evening
548,5/4/2025,1177,2008,404,3.0,332.95,3,afternoon
549,5/4/2025,1035,2081,403,1.0,1343.2,4,morning
550,5/4/2025,1064,2084,402,3.0,845.55,5,morning
553,5/4/2025,1092,2089,401,0.0,827.04,3,morning
554,5/4/2025,1196,2031,403,1.0,1526.31,4,evening
556,5/4/2025,1192,2042,404,0.0,1005.66,2,morning
557,5/4/2025,1002,2012,403,1.0,560.87,1,evening
560,5/4/2025,1088,2003,404,0.0,385.18,5,morning
562,5/4/2025,1186,2018,403,2.0,1301.42,1,afternoon
564,5/4/2025,1089,2060,401,3.0,408.38,4,evening
567,5/4/2025,1005,2043,401,1.0,786.1,1,evening
570,5/4/2025,1059,2051,402,1.0,527.94,5,morning
571,5/4/2025,1163,2084,404,3.0,845.55,2,evening
572,5/4/2025,1007,2094,402,3.0,493.35,1,afternoon
576,5/4/2025,1137,2023,403,2.0,1503.26,2,morning
577,5/4/2025,1050,2058,401,2.0,1066.8,1,evening
578,5/4/2025,1171,2062,403,3.0,619.36,3,afternoon
580,5/4/2025,1090,2058,402,2.0,1066.8,5,morning
581,5/4/2025,1157,2075,401,1.0,702.58,2,evening
584,5/4/2025,1130,2049,404,1.0,845.86,4,evening
585,5/4/2025,1147,2049,404,1.0,845.86,5,afternoon
587,5/4/2025,1125,2036,402,1.0,588.55,1,evening
588,5/4/2025,1080,2057,401,2.0,699.17,3,afternoon
589,5/4/2025,1002,2062,402,1.0,1114.85,4,morning
593,5/4/2025,1194,2028,403,0.0,637.94,3,morning
599,5/4/2025,1188,2083,402,2.0,1229.06,4,morning
600,5/4/2025,1008,2057,403,2.0,699.17,5,morning
602,5/4/2025,1053,2094,403,3.0,493.35,1,afternoon
605,5/4/2025,1152,2068,402,2.0,656.19,5,afternoon
613,5/4/2025,1096,2057,401,0.0,1310.94,3,morning
614,5/4/2025,1103,2065,403,2.0,376.27,4,evening
615,5/4/2025,1116,2062,403,0.0,1238.72,5,afternoon
618,5/4/2025,1136,2050,402,3.0,933.9,3,afternoon
619,5/4/2025,1054,2063,403,2.0,441.97,4,morning
621,5/4/2025,1087,2087,401,0.0,637.28,2,evening
623,5/4/2025,1031,2020,404,3.0,1127.49,3,morning
626,5/4/2025,1023,2083,403,2.0,1229.06,2,morning
629,5/4/2025,1109,2083,401,0.0,768.16,4,morning
630,5/4/2025,1000,2027,404,0.0,517.22,5,morning
631,5/4/2025,1033,2075,402,3.0,780.64,2,evening
632,5/4/2025,1002,2001,403,0.0,824.7,1,afternoon
636,5/4/2025,1094,2038,402,3.0,926.51,2,morning
638,5/4/2025,1017,2067,401,1.0,523.71,3,afternoon
639,5/4/2025,1112,2044,402,1.0,560.47,4,morning
640,5/4/2025,1105,2078,404,1.0,383.43,5,morning
641,5/4/2025,1022,2012,402,0.0,623.19,2,evening
644,5/4/2025,1070,2082,401,1.0,719.82,4,evening
647,5/4/2025,1191,2050,403,0.0,560.34,1,evening
648,5/4/2025,1005,2030,404,3.0,679.88,3,afternoon
649,5/4/2025,1028,2030,404,0.0,509.91,4,morning
650,5/4/2025,1135,2001,403,2.0,989.64,5,morning
651,5/4/2025,1033,2049,404,2.0,751.87,2,evening
654,5/4/2025,1003,2033,402,0.0,836.25,4,evening
655,5/4/2025,1015,2050,403,3.0,560.34,5,afternoon
656,5/4/2025,1108,2089,404,0.0,413.52,2,morning
658,5/4/2025,1021,2039,401,1.0,878.8,3,afternoon
660,5/4/2025,1150,2081,401,2.0,1193.95,5,morning
664,5/4/2025,1170,2094,402,0.0,986.7,4,evening
666,5/4/2025,1041,2063,403,2.0,1325.9,2,morning
667,5/4/2025,1042,2047,402,2.0,803.95,1,evening
669,5/4/2025,1109,2034,401,2.0,326.81,4,morning
670,5/4/2025,1182,2073,401,3.0,499.43,5,morning
671,5/4/2025,1116,2065,403,0.0,470.34,2,evening
672,5/4/2025,1127,2072,402,2.0,1008.72,1,afternoon
674,5/4/2025,1058,2094,401,0.0,493.35,4,evening
678,5/4/2025,1082,2031,404,2.0,452.24,3,afternoon
680,5/4/2025,1128,2086,401,1.0,804.69,5,morning
681,5/4/2025,1057,2066,401,3.0,1548.18,2,evening
682,5/4/2025,1017,2059,403,2.0,409.64,1,afternoon
686,5/4/2025,1094,2075,404,1.0,702.58,2,morning
687,5/4/2025,1187,2069,402,1.0,627.45,1,evening
690,5/4/2025,1000,2097,404,2.0,1347.36,5,morning
692,5/4/2025,1125,2007,402,2.0,933.42,1,afternoon
693,5/4/2025,1023,2005,402,3.0,1286.34,3,morning
694,5/4/2025,1179,2047,404,0.0,669.96,4,evening
697,5/4/2025,1169,2016,402,2.0,775.25,1,evening
699,5/4/2025,1081,2057,403,1.0,393.28,4,morning
700,5/4/2025,1019,2025,402,0.0,559.24,5,morning
704,5/4/2025,1078,2059,403,0.0,1536.15,4,evening
708,5/4/2025,1131,2006,403,2.0,475.2,3,afternoon
709,5/4/2025,1044,2003,404,3.0,1155.54,4,morning
712,5/4/2025,1003,2007,402,1.0,1050.1,1,afternoon
714,5/4/2025,1149,2075,403,0.0,780.64,4,evening
715,5/4/2025,1005,2008,402,3.0,466.13,5,afternoon
716,5/4/2025,1032,2011,403,0.0,409.74,2,morning
717,5/4/2025,1010,2059,401,1.0,921.69,1,evening
719,5/4/2025,1007,2048,404,1.0,1287.47,4,morning
720,5/4/2025,1090,2027,402,2.0,413.78,5,morning
721,5/4/2025,1071,2057,402,0.0,1310.94,2,evening
727,5/4/2025,1139,2062,403,2.0,1486.46,1,evening
728,5/4/2025,1099,2034,402,0.0,408.51,3,afternoon
731,5/4/2025,1135,2045,402,1.0,842.78,2,evening
732,5/4/2025,1025,2031,402,2.0,904.48,1,afternoon
735,5/4/2025,1045,2030,403,2.0,407.93,5,afternoon
736,5/4/2025,1151,2003,403,1.0,693.32,2,morning
738,5/4/2025,1044,2062,401,0.0,1238.72,3,afternoon
740,5/4/2025,1134,2061,401,2.0,639.74,5,morning
741,5/4/2025,1157,2025,402,2.0,671.09,2,evening
743,5/4/2025,1005,2018,402,0.0,542.26,3,morning
747,5/4/2025,1040,2093,404,3.0,755.94,1,evening
749,5/4/2025,1057,2085,402,3.0,1452.9,4,morning
752,5/4/2025,1197,2072,401,1.0,1513.08,1,afternoon
755,5/4/2025,1060,2044,403,1.0,934.11,5,afternoon
756,5/4/2025,1162,2011,403,3.0,1229.22,2,morning
759,5/4/2025,1027,2092,401,0.0,482.21,4,morning
760,5/4/2025,1098,2056,404,1.0,944.5,5,morning
762,5/4/2025,1139,2048,401,3.0,357.63,1,afternoon
763,5/4/2025,1147,2083,402,1.0,691.34,3,morning
767,5/4/2025,1041,2093,401,0.0,755.94,1,evening
769,5/4/2025,1110,2083,402,3.0,768.16,4,morning
772,5/4/2025,1169,2036,403,1.0,392.36,1,afternoon
776,5/4/2025,1051,2012,401,1.0,1121.74,2,evening
777,5/4/2025,1043,2081,403,0.0,746.22,1,afternoon
778,5/4/2025,1121,2014,403,3.0,985.2,3,morning
781,5/4/2025,1094,2048,403,1.0,321.87,2,morning
782,5/4/2025,1114,2005,403,3.0,428.78,1,morning
783,5/4/2025,1119,2033,402,2.0,1338.0,3,evening
784,5/4/2025,1144,2007,402,0.0,1166.78,4,afternoon
786,5/4/2025,1193,2075,402,0.0,1561.28,2,evening
788,5/4/2025,1146,2030,404,2.0,543.9,3,morning
792,5/4/2025,1010,2054,401,3.0,900.51,1,morning
794,5/4/2025,1081,2093,401,0.0,755.94,4,afternoon
795,5/4/2025,1099,2071,404,2.0,984.26,5,morning
799,5/4/2025,1027,2072,401,2.0,672.48,4,evening
800,5/4/2025,1137,2044,404,2.0,830.32,5,afternoon
803,5/4/2025,1036,2079,404,0.0,950.54,3,evening
804,5/4/2025,1101,2042,402,0.0,335.22,4,afternoon
807,5/4/2025,1071,2062,401,1.0,557.42,1,afternoon
810,5/4/2025,1048,2056,402,3.0,524.72,5,afternoon
815,5/4/2025,1049,2025,401,1.0,503.32,5,morning
816,5/4/2025,1008,2058,401,2.0,533.4,2,evening
817,5/4/2025,1180,2025,403,2.0,894.78,1,afternoon
818,5/4/2025,1118,2064,404,0.0,882.12,3,morning
819,5/4/2025,1174,2003,402,2.0,308.14,4,evening
820,5/4/2025,1125,2076,404,1.0,725.46,5,afternoon
822,5/4/2025,1041,2033,401,2.0,669.0,1,morning
823,5/4/2025,1007,2049,401,1.0,845.86,3,evening
824,5/4/2025,1146,2099,402,1.0,581.69,4,afternoon
825,5/4/2025,1165,2028,402,2.0,1531.06,5,morning
826,5/4/2025,1166,2052,401,0.0,731.26,2,evening
827,5/4/2025,1121,2016,402,0.0,646.04,1,afternoon
829,5/4/2025,1108,2048,403,3.0,357.63,4,evening
830,5/4/2025,1064,2027,404,2.0,413.78,5,afternoon
832,5/4/2025,1001,2065,403,2.0,376.27,1,morning
833,5/4/2025,1076,2087,401,3.0,796.6,3,evening
835,5/4/2025,1070,2033,403,1.0,752.62,5,morning
836,5/4/2025,1038,2066,402,0.0,1032.12,2,evening
837,5/4/2025,1153,2051,403,1.0,316.76,1,afternoon
844,5/4/2025,1024,2060,402,2.0,326.7,4,afternoon
845,5/4/2025,1185,2071,402,2.0,984.26,5,morning
846,5/4/2025,1167,2011,402,2.0,327.79,2,evening
848,5/4/2025,1084,2047,403,2.0,803.95,3,morning
850,5/4/2025,1162,2074,401,3.0,659.5,5,afternoon
851,5/4/2025,1049,2064,401,3.0,882.12,2,morning
852,5/4/2025,1135,2038,404,0.0,926.51,1,morning
853,5/4/2025,1038,2017,402,2.0,741.92,3,evening
854,5/4/2025,1104,2072,404,1.0,1134.81,4,afternoon
857,5/4/2025,1162,2007,401,3.0,583.39,1,afternoon
861,5/4/2025,1109,2061,404,0.0,799.68,2,morning
864,5/4/2025,1173,2000,402,1.0,872.38,4,afternoon
865,5/4/2025,1177,2044,403,1.0,373.64,5,morning
867,5/4/2025,1016,2005,403,2.0,686.05,1,afternoon
868,5/4/2025,1116,2093,403,3.0,755.94,3,morning
869,5/4/2025,1175,2017,403,3.0,463.7,4,evening
870,5/4/2025,1091,2096,402,1.0,1209.92,5,afternoon
871,5/4/2025,1103,2002,402,1.0,779.4,2,morning
872,5/4/2025,1186,2016,402,0.0,646.04,1,morning
876,5/4/2025,1169,2013,401,0.0,935.36,2,evening
877,5/4/2025,1176,2014,404,3.0,1231.5,1,afternoon
880,5/4/2025,1077,2053,401,2.0,976.24,5,afternoon
881,5/4/2025,1159,2077,402,3.0,561.83,2,morning
884,5/4/2025,1155,2025,403,1.0,503.32,4,afternoon
886,5/4/2025,1041,2005,404,1.0,385.9,2,evening
887,5/4/2025,1176,2061,403,1.0,359.86,1,afternoon
889,5/4/2025,1146,2085,404,1.0,653.81,4,evening
890,5/4/2025,1023,2099,401,0.0,1292.64,5,afternoon
893,5/4/2025,1025,2022,401,2.0,1073.89,3,evening
894,5/4/2025,1092,2086,403,3.0,894.1,4,afternoon
897,5/4/2025,1091,2056,403,0.0,1049.44,1,afternoon
902,5/4/2025,1178,2092,401,1.0,867.98,1,morning
904,5/4/2025,1046,2078,404,2.0,454.43,4,afternoon
909,5/4/2025,1132,2066,401,3.0,1548.18,4,evening
910,5/4/2025,1169,2093,402,3.0,755.94,5,afternoon
912,5/4/2025,1142,2078,401,0.0,568.04,1,morning
917,5/4/2025,1060,2010,404,3.0,544.88,1,afternoon
918,5/4/2025,1146,2057,401,3.0,436.98,3,morning
922,5/4/2025,1023,2077,403,1.0,505.65,1,morning
923,5/4/2025,1167,2085,404,2.0,387.44,3,evening
924,5/4/2025,1093,2006,402,3.0,594.0,4,afternoon
